benchmark,run,result
quadratic,baseline,785
quadratic,myopt,782
primes-between,baseline,574100
primes-between,myopt,574100
orders,baseline,5352
orders,myopt,5352
palindrome,baseline,298
palindrome,myopt,298
totient,baseline,253
totient,myopt,253
relative-primes,baseline,1923
relative-primes,myopt,1914
hanoi,baseline,99
hanoi,myopt,99
check-primes,baseline,8468
check-primes,myopt,8419
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,2936
mytest,baseline,4
mytest,myopt,2
fact,baseline,229
fact,myopt,228
loopfact,baseline,116
loopfact,myopt,115
recfact,baseline,104
recfact,myopt,103
factors,baseline,72
factors,myopt,72
perfect,baseline,232
perfect,myopt,232
bitshift,baseline,167
bitshift,myopt,163
digital-root,baseline,247
digital-root,myopt,247
up-arrow,baseline,252
up-arrow,myopt,252
sum-divisors,baseline,159
sum-divisors,myopt,159
ackermann,baseline,1464231
ackermann,myopt,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,61518
dot-product,baseline,88
dot-product,myopt,88
euclid,baseline,563
euclid,myopt,562
binary-fmt,baseline,100
binary-fmt,myopt,100
gcd,baseline,46
gcd,myopt,46
catalan,baseline,659378
catalan,myopt,659378
armstrong,baseline,133
armstrong,myopt,130
pascals-row,baseline,146
pascals-row,myopt,134
collatz,baseline,169
collatz,myopt,169
sum-bits,baseline,73
sum-bits,myopt,73
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
mod_inv,baseline,missing
mod_inv,myopt,missing
reverse,baseline,46
reverse,myopt,46
fizz-buzz,baseline,3652
fizz-buzz,myopt,3258
bitwise-ops,baseline,1690
bitwise-ops,myopt,1689
cholesky,baseline,3761
cholesky,myopt,3705
mat-inv,baseline,1044
mat-inv,myopt,1044
function_call,baseline,59809726
function_call,myopt,54208816
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,142
conjugate-gradient,baseline,1999
conjugate-gradient,myopt,1999
n_root,baseline,733
n_root,myopt,733
newton,baseline,217
newton,myopt,217
euler,baseline,1908
euler,myopt,1907
riemann,baseline,298
riemann,myopt,298
mandelbrot,baseline,2720947
mandelbrot,myopt,2613889
cordic,baseline,517
cordic,myopt,508
pow,baseline,36
pow,myopt,34
sqrt,baseline,322
sqrt,myopt,312
sieve,baseline,3482
sieve,myopt,3455
bubblesort,baseline,253
bubblesort,myopt,252
primitive-root,baseline,11029
primitive-root,myopt,11024
adler32,baseline,6851
adler32,myopt,6851
adj2csr,baseline,56629
adj2csr,myopt,56629
max-subarray,baseline,193
max-subarray,myopt,192
mat-mul,baseline,1990407
mat-mul,myopt,1990407
fib,baseline,121
fib,myopt,120
vsmul,baseline,86036
vsmul,myopt,86036
quicksort,baseline,264
quicksort,myopt,263
eight-queens,baseline,1006454
eight-queens,myopt,959702
binary-search,baseline,78
binary-search,myopt,74
